system:time_start,undefined
"Jan 1, 2001",32.193
"Feb 1, 2001",36.472
"Mar 1, 2001",40.28
"Apr 1, 2001",38.385
"May 1, 2001",36.405
"Jun 1, 2001",35.242
"Jul 1, 2001",31.427
"Aug 1, 2001",27.318
"Sep 1, 2001",36.225
"Oct 1, 2001",30.099
"Nov 1, 2001",30.144
"Dec 1, 2001",30.865
"Jan 1, 2002",30.942
"Feb 1, 2002",36.834
"Mar 1, 2002",40.154
"Apr 1, 2002",40.172
"May 1, 2002",37.291
"Jun 1, 2002",34.861
"Jul 1, 2002",29.722
"Aug 1, 2002",31.665
"Sep 1, 2002",35.003
"Oct 1, 2002",33.976
"Nov 1, 2002",32.379
"Dec 1, 2002",30.725
"Jan 1, 2003",32.328
"Feb 1, 2003",37.076
"Mar 1, 2003",37.786
"Apr 1, 2003",37.335
"May 1, 2003",38.217
"Jun 1, 2003",35.498
"Jul 1, 2003",34.522
"Aug 1, 2003",32.598
"Sep 1, 2003",36.501
"Oct 1, 2003",31.549
"Nov 1, 2003",30.92
"Dec 1, 2003",31.488
"Jan 1, 2004",31.894
"Feb 1, 2004",36.43
"Mar 1, 2004",40.297
"Apr 1, 2004",37.349
"May 1, 2004",32.648
"Jun 1, 2004",27.972
"Jul 1, 2004",32.209
"Aug 1, 2004",30.444
"Sep 1, 2004",35.074
"Oct 1, 2004",31.27
"Nov 1, 2004",29.834
"Dec 1, 2004",30.702
"Jan 1, 2005",31.999
"Feb 1, 2005",36.427
"Mar 1, 2005",39.837
"Apr 1, 2005",38
"May 1, 2005",37.872
"Jun 1, 2005",30.877
"Jul 1, 2005",31.231
"Aug 1, 2005",31.116
"Sep 1, 2005",32.312
"Oct 1, 2005",31.021
"Nov 1, 2005",29.182
"Dec 1, 2005",28.675
"Jan 1, 2006",32.373
"Feb 1, 2006",35.703
"Mar 1, 2006",35.846
"Apr 1, 2006",37.527
"May 1, 2006",35.276
"Jun 1, 2006",32.97
"Jul 1, 2006",28.028
"Aug 1, 2006",33.742
"Sep 1, 2006",33.824
"Oct 1, 2006",33.245
"Nov 1, 2006",30.291
"Dec 1, 2006",30.418
"Jan 1, 2007",33.102
"Feb 1, 2007",36.2
"Mar 1, 2007",40.356
"Apr 1, 2007",40.529
"May 1, 2007",38.03
"Jun 1, 2007",37.922
"Jul 1, 2007",32.277
"Aug 1, 2007",31.758
"Sep 1, 2007",28.295
"Oct 1, 2007",32.885
"Nov 1, 2007",30.437
"Dec 1, 2007",30.067
"Jan 1, 2008",32.083
"Feb 1, 2008",35.559
"Mar 1, 2008",36.587
"Apr 1, 2008",36.189
"May 1, 2008",37.034
"Jun 1, 2008",32.871
"Jul 1, 2008",32.207
"Aug 1, 2008",30.054
"Sep 1, 2008",32.919
"Oct 1, 2008",31.68
"Nov 1, 2008",31.627
"Dec 1, 2008",30.868
"Jan 1, 2009",32.734
"Feb 1, 2009",37.127
"Mar 1, 2009",38.631
"Apr 1, 2009",38.968
"May 1, 2009",36.381
"Jun 1, 2009",34.163
"Jul 1, 2009",28.393
"Aug 1, 2009",27.869
"Sep 1, 2009",30.398
"Oct 1, 2009",31.715
"Nov 1, 2009",31.115
"Dec 1, 2009",29.662
"Jan 1, 2010",31.361
"Feb 1, 2010",36.567
"Mar 1, 2010",39.737
"Apr 1, 2010",36.967
"May 1, 2010",33.474
"Jun 1, 2010",29.58
"Jul 1, 2010",29.212
"Aug 1, 2010",32.022
"Sep 1, 2010",29.81
"Oct 1, 2010",30.215
"Nov 1, 2010",27.641
"Dec 1, 2010",29.165
