Time,Temp.,,Time,Temp.,,Time,Temp.
"Jan 1, 2028",31.788,,"Jan 1, 2029",31.776,,"Jan 1, 2030",31.763
"Feb 1, 2028",33.88,,"Feb 1, 2029",33.784,,"Feb 1, 2030",33.688
"Mar 1, 2028",36.997,,"Mar 1, 2029",36.963,,"Mar 1, 2030",36.928
"Apr 1, 2028",39.356,,"Apr 1, 2029",39.382,,"Apr 1, 2030",39.409
"May 1, 2028",33.654,,"May 1, 2029",33.537,,"May 1, 2030",33.42
"Jun 1, 2028",31.191,,"Jun 1, 2029",31.089,,"Jun 1, 2030",30.988
"Jul 1, 2028",29.942,,"Jul 1, 2029",29.92,,"Jul 1, 2030",29.899
"Aug 1, 2028",36.089,,"Aug 1, 2029",36.247,,"Aug 1, 2030",36.404
"Sep 1, 2028",30.69,,"Sep 1, 2029",30.597,,"Sep 1, 2030",30.504
"Oct 1, 2028",31.745,,"Oct 1, 2029",31.734,,"Oct 1, 2030",31.723
"Nov 1, 2028",29.111,,"Nov 1, 2029",29.107,,"Nov 1, 2030",29.103
"Dec 1, 2028",29.936,,"Dec 1, 2029",29.923,,"Dec 1, 2030",29.911
